skills,interest,education,career
legal research;contract law;writing,law,phd,Lawyer
contract law;legal research;negotiation,legal,phd,Attorney
legal writing;legal research;contract law,law,phd,Legal Counsel
litigation;legal research;contract law,law,phd,Trial Lawyer
compliance;legal research;contract law,legal,bachelor,Compliance Officer
ethical hacking;penetration testing;security,cybersecurity,bachelor,Ethical Hacker
penetration testing;networking;security,security,bachelor,Penetration Tester
security;ethical hacking;linux,cybersecurity,diploma,Security Researcher
vulnerability assessment;security;networking,cybersecurity,bachelor,Security Analyst
incident response;security;networking,cybersecurity,bachelor,Security Engineer
blockchain;solidity;cryptography,blockchain,bachelor,Blockchain Developer
solidity;smart contracts;blockchain,cryptocurrency,bachelor,Smart Contract Developer
cryptography;blockchain;security,blockchain technology,bachelor,Blockchain Engineer
web3;blockchain;solidity,decentralized apps,bootcamp,Web3 Developer
nft;blockchain;solidity,crypto,bachelor,NFT Developer
game design;unity;c#,game development,bachelor,Game Developer
unity;c#;game design,gaming,bachelor,Game Designer
unreal engine;c++;game design,game development,bachelor,Game Engineer
game design;unity;3d modeling,gaming,diploma,Video Game Designer
c#;unity;game programming,game development,bachelor,Game Programmer
photography;photo editing;creativity,photography,diploma,Photographer
photo editing;lightroom;photography,visual arts,bachelor,Professional Photographer
videography;video editing;storytelling,filmmaking,bachelor,Videographer
video editing;premiere pro;storytelling,video production,bachelor,Video Editor
filmmaking;videography;storytelling,film,bachelor,Film Director
